id,item_id,date,quantity,cost (CLP)_x,delivery_date,lead_time,description,description_2,group_description,unit_sale_price (CLP),cost (CLP)_y,storage_cost (CLP),stock,size_m3,cost_per_purchase
2829,1621,2020-09-21,13,235560.0,2020-10-13,22,brit care puppy l&r 3 kg,cachorros,alimento,23900.0,18120.0,72.0,0.0,0.015,1800.0
2848,1698,2020-09-21,1,57999.0,2020-10-09,18,brit care sensitive venison & potato 12 kg,adultos,alimento,74990.0,57999.0,226.0,0.0,0.015,2550.0
3052,1308,2020-10-05,18,786701.6666666666,2020-10-31,26,brit care adulto large salmon & potato 12 kg,adultos,alimento,62990.0,42911.0,190.0,2.0,0.015,5000.0
3163,1529,2020-10-12,1,34041.0,2020-11-02,21,bravery salmon adult cat sterilized 7 kg,adultos,alimento,49990.0,34041.0,150.0,0.0,0.015,2250.0
3166,1698,2020-10-12,3,173997.0,2020-11-07,26,brit care sensitive venison & potato 12 kg,adultos,alimento,74990.0,57999.0,226.0,0.0,0.015,2550.0
3171,534,2020-10-19,4,17176.0,2020-11-06,18,belcando búfalo de agua 400 gr,humedo,alimento,5590.0,4294.0,18.0,0.0,0.015,650.0
3177,419,2020-10-19,2,85286.0,2020-11-08,20,brit care weight loss rabbit 12 kg,weight control,alimento,63990.0,42643.0,193.0,4.0,0.015,1850.0
3186,1272,2020-10-19,0,17238.0,2020-11-07,19,brit care duck endurance 12 kg,adultos,alimento,50900.0,34476.0,154.0,2.0,0.015,1800.0
3198,642,2020-10-19,15,670860.0,2020-11-10,22,proplan active mind rz mediana y grande 15kg,senior,alimento,56900.0,44724.0,172.0,0.0,0.015,5700.0
3211,629,2020-10-26,13,787973.6000000001,2020-11-26,31,eukanuba adulto large breed 15 kg,adultos,alimento,82410.0,58804.0,249.0,3.0,0.015,3400.0
3234,1476,2020-11-02,6,205446.99999999985,2020-11-23,21,bravery chicken adult cat 7 kg,adultos,alimento,44990.0,32439.0,136.0,0.0,0.015,4850.0
